order;NL;kw;la
8;[50, 51, 94, 157, 269];10;6.2364964712
50;[2, 31, 35, 37, 120];8;5.5439586753
61;[6, 96, 106, 107];6;6.2364964712
72;[7, 28, 31, 41, 46, 47, 85, 90, 100, 114];11;2.6432176972
75;[27, 28, 40, 75, 84, 90, 91];7;2.0916526769
76;[20, 21, 26, 108];6;6.2364964712
77;[0, 1, 21, 278, 317];7;5.0049621746
78;[4, 5, 104, 215, 216];7;5.0049621746
79;[17, 19, 112, 228, 242, 248, 258, 261, 297];23;4.7282091726
70;[15, 16, 60, 64, 113, 115];8;4.2911957068
81;[10, 121, 149, 234, 292];7;5.0049621746
82;[28, 35, 36, 113];5;5.7671022266
69;[116, 120, 129];2;4.8508114947
