order;NL;kw;la
173;[5, 137, 138, 197];6;6.2364964712
227;[5, 215, 216, 221, 248];10;6.2364964712
230;[30, 177, 181, 208];6;6.2364964712
235;[71, 79, 80, 127];5;5.7671022266
236;[4, 83, 196, 215];5;5.7671022266
237;[26, 53, 66, 179];5;5.7671022266
240;[29, 56, 57, 76, 83, 126, 162, 174, 185, 276];30;4.8508114947
241;[97, 125, 169, 176, 187, 316];15;6.2364964712
242;[34, 146, 243, 250, 284];10;6.2364964712
243;[14, 81, 121, 134, 244, 263, 276, 283];19;4.904878716
244;[22, 23, 50, 67, 157, 161, 167, 168];19;4.904878716
246;[4, 11, 17, 19, 88, 89, 105, 111, 112, 133, 149, 196, 216, 218, 221, 223, 225, 242];79;4.1975338119
248;[28, 31, 35, 84, 113];9;6.2364964712
249;[20, 21, 70, 74, 79, 80, 101, 102, 108, 127, 148, 150, 151, 166, 168, 278, 322];77;4.3844193233
250;[71, 99, 183, 319];6;6.2364964712
251;[8, 9, 10, 135, 141, 143, 144, 165, 171, 234, 257, 264, 271, 275, 279, 280, 286, 290, 298, 300, 312, 315];127;4.3574605015
252;[15, 16, 28, 60, 85];7;5.0049621746
253;[29, 30, 175, 205, 238];7;5.0049621746
255;[6, 27, 31, 32, 75, 84, 114, 115];15;4.2320412718
