order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
162;[3, 46, 47, 114];6;6.2364964712
163;[27, 84, 85, 90, 100];7;5.0049621746
167;[29, 76, 77, 162, 174, 192];11;5.1692652258
168;[20, 26, 101, 108, 152, 154, 166, 317];22;5.4569472983
169;[97, 99, 125, 169, 173, 176, 186, 200, 316];28;5.4104272827
170;[7, 41, 46, 91, 96, 106];14;6.2364964712
171;[51, 61, 66, 230, 270];9;6.2364964712
172;[6, 15, 16, 32, 40, 60, 63, 64, 65, 75, 93, 96, 107, 113, 115, 116, 126];37;3.1734623767
173;[5, 137, 138, 197];6;6.2364964712
