order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
95;[6, 7, 36, 65];6;6.2364964712
105;[16, 137, 138, 183, 197];9;6.2364964712
108;[6, 15, 16, 27, 28, 35, 36, 40, 60, 63, 64, 75, 84, 90, 91, 96, 100, 106, 107, 113, 115, 126];45;2.6935980646
115;[135, 141, 143, 171, 201, 204, 264, 267, 268, 271, 272, 279, 280, 286, 290, 291, 292, 300, 304, 312];95;4.1576643142
116;[48, 59, 72, 172, 179, 183, 186, 195, 230];25;4.9786448662
117;[4, 17, 112, 248, 302];10;6.2364964712
118;[8, 10, 22, 111, 234, 292, 302, 315];18;4.7454509791
119;[22, 23, 157, 161, 163];7;5.0049621746
120;[31, 32, 47, 93, 106, 114];12;5.5439586753
121;[206, 207, 253, 295];6;6.2364964712
122;[99, 125, 176, 315];6;6.2364964712
