order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
167;[29, 76, 77, 162, 174, 192];11;5.1692652258
173;[5, 137, 138, 197];6;6.2364964712
170;[46, 91, 106];2;4.8508114947
186;[8, 132, 204, 257, 264, 287, 298, 302];27;6.2364964712
187;[20, 21, 26, 74, 101, 154, 158, 166, 270, 317, 322];35;4.7172801021
188;[15, 16, 31, 32, 37, 60, 63, 64, 106, 113, 114, 120, 224];38;4.1063710198
189;[13, 14, 55, 123, 134, 265];12;5.5439586753
190;[29, 57, 81, 82, 121];9;6.2364964712
192;[11, 228, 242, 248, 258];8;5.5439586753
194;[8, 9, 10, 132, 140, 141, 143, 144, 204, 268, 271, 272, 275, 279, 280, 284, 286, 300, 304];66;3.6470862837
195;[54, 55, 86, 87, 224];7;5.0049621746
196;[27, 40, 41, 75];6;6.2364964712
198;[30, 76, 106, 177, 208];8;5.5439586753
199;[1, 21, 25, 71, 79, 80, 94, 127, 148, 157, 166];23;3.7839543952
