order;NL;kw;la
173;[5, 137, 138, 197];6;6.2364964712
227;[5, 215, 216, 221, 248];10;6.2364964712
228;[6, 31, 32, 114, 115];10;6.2364964712
229;[3, 7, 91, 107, 114];9;6.2364964712
230;[30, 177, 181, 208];6;6.2364964712
231;[4, 11, 17, 88, 89, 111, 112, 133, 216, 225, 242];25;3.9753427574
232;[8, 9, 10, 234, 315];7;5.0049621746
233;[101, 102, 108, 127];6;6.2364964712
234;[70, 79, 148, 150, 151];7;5.0049621746
235;[71, 79, 80, 127];5;5.7671022266
236;[4, 83, 196, 215];5;5.7671022266
237;[26, 53, 66, 179];5;5.7671022266
