order;NL;kw;la
252;[15, 16, 28, 60, 85];7;5.0049621746
255;[6, 27, 31, 32, 75, 84, 114, 115];15;4.2320412718
256;[6, 7, 93, 121, 126];8;5.5439586753
257;[11, 17, 19, 89, 294];7;5.0049621746
261;[0, 21, 24, 73, 74, 101, 102, 108, 151, 152, 154, 166, 270, 278, 317, 322];43;3.575059008
262;[3, 116, 126, 129];6;6.2364964712
263;[30, 131, 175, 208];6;6.2364964712
265;[5, 17, 88, 104, 111, 112, 196, 210, 215, 216, 221, 242, 248, 250, 297];57;4.3295145711
266;[34, 146, 147, 183, 243, 296];12;5.5439586753
267;[13, 82, 121, 123, 134];7;5.0049621746
268;[40, 75, 90, 91, 100];7;5.0049621746
269;[37, 60, 113, 120, 129];7;5.0049621746
270;[15, 32, 35, 64, 113];7;5.0049621746
272;[8, 9, 10, 132, 140, 204, 234, 257, 280, 312, 315];20;3.5980485262
273;[3, 7, 84, 96, 107];7;5.0049621746
274;[20, 21, 26, 148];5;5.7671022266
275;[22, 23, 161, 282];5;5.7671022266
