order;NL;kw;la
0;[2, 6, 7, 27, 41, 65, 75, 84, 91, 100, 106];45;5.6617417109
1;[71, 72, 125, 169, 176, 187, 195];20;6.2364964712
2;[29, 56, 57, 76, 77, 83, 131, 160, 162, 174, 175, 177, 180, 185, 190, 205];62;4.2243556887
3;[24, 25, 38, 39, 70, 92, 108];18;5.9494237834
4;[140, 171, 201, 204, 257, 264];14;6.2364964712
5;[1, 20, 21, 26, 154, 270];14;6.2364964712
6;[9, 10, 36, 69, 132];10;6.2364964712
7;[5, 11, 12, 88, 89, 105, 111, 133, 196, 229];27;4.5631294223
8;[50, 51, 94, 157, 269];10;6.2364964712
9;[135, 136, 143, 272, 277];9;6.2364964712
10;[54, 55, 81, 121, 134, 244, 245];14;4.8508114947
11;[26, 53, 66, 74, 108, 179, 230];14;4.8508114947
12;[28, 31, 32, 60, 113, 114];11;5.1692652258
13;[77, 78, 219, 220];6;6.2364964712
14;[3, 7, 47, 64, 107];9;6.2364964712
15;[13, 14, 42, 134, 266];7;5.0049621746
16;[17, 18, 19, 223, 248];7;5.0049621746
17;[2, 3, 93, 116, 126];7;5.0049621746
18;[1, 74, 150, 151, 168];7;5.0049621746
19;[158, 183, 198, 204];6;6.2364964712
20;[48, 58, 59, 117, 194];7;5.0049621746
21;[48, 74, 159, 189, 201];7;5.0049621746
22;[42, 81, 122, 224, 231];7;5.0049621746
23;[7, 35, 36, 37, 93];7;5.0049621746
24;[20, 48, 49, 176];5;5.7671022266
25;[54, 86, 87, 236];5;5.7671022266
26;[67, 95, 155, 156];5;5.7671022266
27;[45, 133, 210, 211];5;5.7671022266
28;[44, 228, 242, 250];5;5.7671022266
29;[21, 72, 186, 273];5;5.7671022266
30;[101, 102, 106, 130, 148];7;5.0049621746
31;[63, 64, 114, 115];5;5.7671022266
