order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
128;[8, 140, 171, 286, 312];7;5.0049621746
140;[30, 160, 175, 177, 190, 205, 301, 323];18;4.7454509791
153;[8, 132, 141, 143, 144, 165, 271, 275, 280, 284, 300, 304];27;3.789939534
154;[17, 104, 242, 297];5;5.7671022266
157;[5, 11, 103, 216, 223, 225, 258, 261];18;4.7454509791
159;[20, 21, 48, 72, 74, 186];12;5.5439586753
161;[6, 15, 16, 32, 40, 60, 63, 64, 65, 75, 93, 96, 107, 113, 115, 116, 126];76;4.3940530922
162;[3, 46, 47, 114];6;6.2364964712
163;[27, 84, 85, 90, 100];7;5.0049621746
164;[14, 42, 123, 227];5;5.7671022266
165;[12, 105, 112, 196];6;6.2364964712
166;[0, 1, 24, 317];5;5.7671022266
167;[29, 76, 77, 162, 174, 192];11;5.1692652258
