order;NL;kw;la
76;[20, 21, 26, 108];6;6.2364964712
69;[116, 120, 129];2;4.8508114947
95;[6, 7, 36, 65];6;6.2364964712
102;[81, 82, 126, 162, 185, 276, 301];20;6.2364964712
103;[12, 17, 228, 258, 261];9;6.2364964712
104;[3, 47, 65, 96, 100];9;6.2364964712
105;[16, 137, 138, 183, 197];9;6.2364964712
106;[10, 171, 234, 280];6;6.2364964712
107;[17, 19, 223, 248];6;6.2364964712
108;[6, 15, 16, 27, 28, 35, 36, 40, 60, 63, 64, 75, 84, 90, 91, 96, 100, 106, 107, 113, 115, 126];45;2.6935980646
109;[0, 1, 21, 270, 320];7;5.0049621746
110;[14, 42, 55, 93];5;5.7671022266
