order;NL;kw;la
8;[50, 51, 94, 157, 269];10;6.2364964712
31;[63, 64, 114, 115];5;5.7671022266
39;[2, 6, 7, 27, 41, 65, 75, 84, 91, 100, 106];18;3.4371181594
41;[1, 20, 21, 25, 26, 70, 71, 74, 152, 154, 166, 270];40;4.5634618639
43;[28, 31, 85, 100, 114];9;6.2364964712
44;[48, 49, 58, 117, 183];9;6.2364964712
45;[79, 80, 101, 102, 127, 130, 270];17;5.6045832971
46;[18, 45, 133, 211, 248];9;6.2364964712
48;[33, 34, 202, 262];6;6.2364964712
50;[2, 31, 35, 37, 120];8;5.5439586753
51;[10, 135, 136, 140, 143, 144, 165, 171, 201, 204, 234, 257, 264, 267, 268, 272, 275, 277, 279, 291];60;3.3844744259
52;[38, 39, 71, 92];5;5.7671022266
55;[15, 16, 60, 64, 69, 113, 116];18;5.9494237834
56;[7, 41, 46, 47, 90];9;6.2364964712
57;[11, 43, 88, 217, 218, 228, 242];14;4.8508114947
33;[56, 57, 76, 77, 78, 83, 160, 162, 174, 180, 205];18;3.4371181594
59;[6, 36, 69, 126];5;5.7671022266
60;[24, 74, 101, 150, 151];7;5.0049621746
61;[6, 96, 106, 107];6;6.2364964712
