order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
108;[6, 15, 16, 27, 28, 35, 36, 40, 60, 63, 64, 75, 84, 90, 91, 96, 100, 106, 107, 113, 115, 126];45;2.6935980646
124;[0, 1, 130, 278, 317];7;5.0049621746
127;[30, 102, 174, 181, 208];7;5.0049621746
128;[8, 140, 171, 286, 312];7;5.0049621746
130;[34, 146, 243, 284, 296];7;5.0049621746
131;[14, 122, 237, 283];5;5.7671022266
136;[21, 25, 70, 74, 101, 148, 150, 151, 154, 166, 322];42;5.330384575
138;[13, 86, 123, 224, 265];10;6.2364964712
139;[54, 55, 87, 109, 134, 224, 238, 260];18;4.7454509791
140;[30, 160, 175, 177, 190, 205, 301, 323];18;4.7454509791
141;[34, 147, 202, 214, 226, 253, 293, 325];24;5.9494237834
143;[3, 7, 31, 37, 41, 46, 47, 84, 90, 91, 100, 114, 129];53;4.8015737753
145;[4, 5, 11, 12, 18, 88, 103, 105, 111, 112, 133, 215, 216, 225, 242, 258, 261];80;4.5143392581
146;[20, 21, 26, 108];6;6.2364964712
147;[31, 32, 63, 93, 115, 116];12;5.4645905757
148;[9, 140, 149, 280, 292];8;5.5439586753
149;[21, 127, 163, 193, 303];9;6.2364964712
150;[70, 71, 79, 80, 102, 130, 168];13;4.6431721299
152;[29, 56, 131, 162, 174, 175, 185, 191, 192];20;4.3808078655
153;[8, 132, 141, 143, 144, 165, 271, 275, 280, 284, 300, 304];27;3.789939534
