order;NL;kw;la
8;[50, 51, 94, 157, 269];10;6.2364964712
39;[2, 6, 7, 27, 41, 65, 75, 84, 91, 100, 106];18;3.4371181594
48;[33, 34, 202, 262];6;6.2364964712
50;[2, 31, 35, 37, 120];8;5.5439586753
51;[10, 135, 136, 140, 143, 144, 165, 171, 201, 204, 234, 257, 264, 267, 268, 272, 275, 277, 279, 291];60;3.3844744259
61;[6, 96, 106, 107];6;6.2364964712
62;[5, 17, 111, 112, 215];10;6.2364964712
63;[54, 55, 86, 134, 224, 245, 246, 285];24;5.9494237834
64;[12, 221, 225, 258, 261];10;6.2364964712
66;[30, 175, 177, 208, 301];10;6.2364964712
67;[27, 28, 40, 75, 84, 90, 91];21;6.2364964712
68;[13, 42, 107, 123, 231];9;6.2364964712
69;[3, 93, 116, 120, 129];10;6.2364964712
70;[15, 16, 60, 63, 64, 69, 113, 114, 115, 116];26;4.471321873
71;[48, 49, 58, 71, 99, 117, 125, 169, 173, 183];22;4.1132125516
72;[7, 28, 31, 41, 46, 47, 85, 90, 100, 114];11;2.6432176972
73;[6, 36, 56, 57, 69, 76, 77, 78, 83, 126, 160, 162, 174, 180, 205];43;3.7917300448
74;[11, 18, 43, 45, 88, 133, 211, 217, 218, 228, 242, 248];18;3.1768350612
