order;NL;kw;la
8;[50, 51, 94, 157, 269];10;6.2364964712
10;[54, 55, 81, 121, 134, 244, 245];14;4.8508114947
17;[2, 3, 93, 116, 126];7;5.0049621746
25;[54, 86, 87, 236];5;5.7671022266
31;[63, 64, 114, 115];5;5.7671022266
32;[16, 17, 137, 138, 197, 221, 261];18;5.9494237834
33;[29, 56, 57, 76, 77, 78, 83, 131, 160, 162, 174, 175, 177, 180, 185, 190, 205, 219, 220];50;3.273896774
34;[23, 118, 274, 282];6;6.2364964712
36;[5, 11, 17, 88, 111, 133, 215, 217, 218, 225, 228, 229, 297];47;4.5738247114
39;[2, 6, 7, 27, 41, 65, 75, 84, 91, 100, 106];18;3.4371181594
40;[59, 71, 72, 97, 98, 99, 125, 169, 173, 176, 187, 195];40;4.5884472303
41;[1, 20, 21, 25, 26, 70, 71, 74, 152, 154, 166, 270];40;4.5634618639
43;[28, 31, 85, 100, 114];9;6.2364964712
44;[48, 49, 58, 117, 183];9;6.2364964712
45;[79, 80, 101, 102, 127, 130, 270];17;5.6045832971
46;[18, 45, 133, 211, 248];9;6.2364964712
47;[13, 82, 123, 174];6;6.2364964712
48;[33, 34, 202, 262];6;6.2364964712
49;[19, 103, 223, 225];6;6.2364964712
50;[2, 31, 35, 37, 120];8;5.5439586753
51;[10, 135, 136, 140, 143, 144, 165, 171, 201, 204, 234, 257, 264, 267, 268, 272, 275, 277, 279, 291];60;3.3844744259
52;[38, 39, 71, 92];5;5.7671022266
53;[9, 149, 171, 292];5;5.7671022266
54;[0, 26, 80, 153];5;5.7671022266
