order;NL;kw;la
0;[2, 6, 7, 27, 41, 65, 75, 84, 91, 100, 106];45;5.6617417109
1;[71, 72, 125, 169, 176, 187, 195];20;6.2364964712
4;[140, 171, 201, 204, 257, 264];14;6.2364964712
5;[1, 20, 21, 26, 154, 270];14;6.2364964712
6;[9, 10, 36, 69, 132];10;6.2364964712
8;[50, 51, 94, 157, 269];10;6.2364964712
9;[135, 136, 143, 272, 277];9;6.2364964712
10;[54, 55, 81, 121, 134, 244, 245];14;4.8508114947
11;[26, 53, 66, 74, 108, 179, 230];14;4.8508114947
14;[3, 7, 47, 64, 107];9;6.2364964712
17;[2, 3, 93, 116, 126];7;5.0049621746
19;[158, 183, 198, 204];6;6.2364964712
25;[54, 86, 87, 236];5;5.7671022266
31;[63, 64, 114, 115];5;5.7671022266
32;[16, 17, 137, 138, 197, 221, 261];18;5.9494237834
33;[29, 56, 57, 76, 77, 78, 83, 131, 160, 162, 174, 175, 177, 180, 185, 190, 205, 219, 220];50;3.273896774
34;[23, 118, 274, 282];6;6.2364964712
