order;NL;kw;la
72;[7, 28, 31, 41, 46, 47, 85, 90, 100, 114];11;2.6432176972
76;[20, 21, 26, 108];6;6.2364964712
81;[10, 121, 149, 234, 292];7;5.0049621746
69;[116, 120, 129];2;4.8508114947
85;[3, 27, 47, 75, 93, 107, 126];19;6.2364964712
86;[140, 143, 144, 171, 201, 204, 257, 264, 267, 268, 271, 280, 291, 300, 304];49;4.0241329215
88;[0, 1, 21, 25, 70, 73, 80, 101, 127, 130, 150, 151, 154, 166, 270, 278, 317, 320];72;4.0398812785
89;[28, 110, 236, 251, 276];10;6.2364964712
91;[4, 5, 12, 17, 19, 103, 104, 105, 112, 215, 216, 217, 218, 225, 228, 242, 248, 258, 261, 292, 297];113;4.3103411544
92;[3, 41, 46, 84, 96, 120];13;5.9562290821
94;[160, 175, 177, 178, 180, 190, 208, 219, 232, 286];30;4.8508114947
95;[6, 7, 36, 65];6;6.2364964712
96;[8, 10, 111, 315];6;6.2364964712
97;[13, 14, 42, 55, 123, 134];10;4.8508114947
99;[6, 27, 28, 40, 75, 84, 90, 91, 96, 106, 107];21;3.4174102464
100;[15, 16, 28, 35, 36, 60, 63, 64, 100, 113, 115, 126];39;4.5024534672
101;[4, 35, 81, 166, 251];7;5.0049621746
