order;NL;kw;la
69;[116, 120, 129];2;4.8508114947
108;[6, 15, 16, 27, 28, 35, 36, 40, 60, 63, 64, 75, 84, 90, 91, 96, 100, 106, 107, 113, 115, 126];45;2.6935980646
119;[22, 23, 157, 161, 163];7;5.0049621746
124;[0, 1, 130, 278, 317];7;5.0049621746
126;[8, 132, 141, 143, 144, 165, 271, 275, 280, 284, 300, 304];45;4.9198043662
127;[30, 102, 174, 181, 208];7;5.0049621746
128;[8, 140, 171, 286, 312];7;5.0049621746
129;[12, 225, 258, 261];5;5.7671022266
130;[34, 146, 243, 284, 296];7;5.0049621746
131;[14, 122, 237, 283];5;5.7671022266
133;[29, 56, 131, 162, 174];7;5.0049621746
134;[4, 5, 88, 103, 111, 112, 133, 215, 216];15;3.8211920775
135;[3, 7, 37, 41, 46, 47, 84, 100, 114];16;3.8795424653
